sample_idx,source_file,scale_km,offset_id,cell_rank,cell_lon_center,cell_lat_center,group_tag,algorithm,hv,nd_count,converge_best_obj1,converge_best_obj2,converge_mean_obj1,converge_mean_obj2,elapsed_sec
1027,dongguan.csv,5.0,1,68,113.788759520262,22.944102388653,dongguan.csv|s5.0|gx2|gy3,NSGA2,0.8737633118232417,52,0.6319698784517108,5592000.0,1.8102835299975513,11811461.538461538,9.923252900014631
1027,dongguan.csv,5.0,1,68,113.788759520262,22.944102388653,dongguan.csv|s5.0|gx2|gy3,NSGA3,0.8768700371070409,47,0.47433838942595535,5577600.0,1.3652520269011401,13561736.170212766,10.190750599984312
1027,dongguan.csv,5.0,1,68,113.788759520262,22.944102388653,dongguan.csv|s5.0|gx2|gy3,MOEAD,0.8390972038913285,32,0.7097557677928663,7399200.0,2.1940533880671333,11478450.0,4.670275400014361
1028,dongguan.csv,5.0,1,69,113.748529701123,22.9581026794425,dongguan.csv|s5.0|gx2|gy3,IMOGABKA-seed,0.9565050169283877,92,2.5117229177294896e-49,552000.0,7.333460950980291,11330713.043478262,32.89686000000802
1028,dongguan.csv,5.0,1,69,113.748529701123,22.9581026794425,dongguan.csv|s5.0|gx2|gy3,MOBKA,0.42463135246538897,9,2.9258771514577593e-05,30391200.0,0.1242126522596557,32012800.0,5.693872200004989
1028,dongguan.csv,5.0,1,69,113.748529701123,22.9581026794425,dongguan.csv|s5.0|gx2|gy3,NSGA2,0.9048874988901736,63,0.583347544057954,3705600.0,2.9906550219718735,10727238.095238095,9.758765500009758
1028,dongguan.csv,5.0,1,69,113.748529701123,22.9581026794425,dongguan.csv|s5.0|gx2|gy3,NSGA3,0.8613897125106948,37,0.5988655825744605,6237600.0,1.9995832779675426,13729491.891891891,10.186694800009718
1028,dongguan.csv,5.0,1,69,113.748529701123,22.9581026794425,dongguan.csv|s5.0|gx2|gy3,MOEAD,0.8330161990671346,32,1.3370512388864109,7082400.0,3.100624981808194,11578950.0,4.920377800008282
1029,dongguan.csv,5.0,1,70,113.981844394737,22.8294766269841,dongguan.csv|s5.0|gx3|gy2,IMOGABKA-seed,0.971918663433499,90,4.399913349843954e-46,532800.0,5.906648131394293,12639626.666666666,30.740026399987983
1029,dongguan.csv,5.0,1,70,113.981844394737,22.8294766269841,dongguan.csv|s5.0|gx3|gy2,MOBKA,0.4598521212580724,6,0.09091925010848068,28401600.0,0.2278291565993732,30163200.0,5.534814000013284
